Year,TEAM_ID,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WINS,LOSSES,WinPCT,PER,FROM_YEAR,FGM_PM
1.0,0.006341798549471894,-0.07291310438913486,-0.15938193442649848,-0.12527127145790956,-0.1471751539412705,0.011791331751981198,0.0038167411304620485,0.03252692498859867,0.025958547346624773,0.02204731300508306,0.1016002314378895,0.11009134640496575,0.05772174857184869,6.74738531212432e-06,-0.0029490608714923473,0.031508233477499314,0.0014024590033929962,0.03082964415866192,0.023894509163038164,0.03340280558542714,0.006226830028163944,-0.0033885173338823356,0.026337265746961224,0.009728291537262863,0.005851746038952882,0.0007074256589495937,0.03723843895831451,0.002715435841458014,0.0370160020152756,-0.025286582641913864,0.0030302899999183493,-0.18687803886155854,-0.19982150364387435,-0.00234107372846389,0.04776318811935817,0.2213677588781012,0.03418270687852615
0.006341798549471894,1.0,-0.050659283634725154,0.030670959805260533,0.016647352184996654,0.03652855615984085,0.016675282457927352,-0.006120379185852485,-0.010173727731582559,-0.00695765548528236,-0.003539021492224692,-0.03112141904233241,-0.0367313873794787,0.022237606991350536,0.008437869564690809,0.005124902522696911,0.041292305760100116,-0.010882821276329769,-0.02211573338061664,-0.019691330975759796,-0.007139729503118523,-0.01938886834004117,-0.00039758355199723657,-0.006370694519591601,0.0022693546542975848,0.0039569803297848935,0.002413316957158288,-0.009759872258175858,-0.002340655541202334,-0.012094305570810203,-0.006134962500592698,-0.006971433246309565,-0.009263196266902312,0.014410302129996904,-0.01142162616300758,0.0072011588945320735,0.03383177702433961,0.01170394211951842
-0.07291310438913486,-0.050659283634725154,1.0,0.13550043250908253,0.19882012889943232,0.02355630780959978,0.14743250695378918,0.1447805624436622,0.08270260486410626,0.08796638360441715,0.03613614588829946,0.1651444251010453,0.1486399598754068,0.07655041218335294,0.0641590802864738,0.04433769524947168,0.1231032976736936,0.002965837406542103,0.10509238967011439,0.07996619819494691,0.15074029346219034,0.07350526426344055,0.0887213575179347,0.004398062256052348,-0.07288363982657753,0.06812810574291737,0.06775371315953414,0.09539282034369767,0.19008110535786776,0.11618707898911468,0.025292117062461827,0.035219310109357777,0.17597995907207978,-0.14354723803113364,0.16766571796010574,0.05599568143998004,-0.8521726564607937,-3.0000511534586297e-05
-0.15938193442649848,0.030670959805260533,0.13550043250908253,1.0,0.8661272756561205,0.8352383727092973,0.17651193481168867,0.660341109631527,0.5376938515389706,0.5186247877549781,0.28389436120791967,0.40141485819434514,0.3825743168858257,0.2850722282401045,0.39091714975772723,0.3969041028058611,0.40834282516899545,0.31398744633849723,0.4930354462859809,0.4674753097268099,0.38024512960752405,0.42923951509146974,0.47342870014549754,0.30475367604311665,0.37954308583877,0.5190672655771947,0.43450820890940034,0.5262068313998807,0.20571620384706063,0.565369165146897,0.33243184175212515,0.11150216723218782,0.14062069325530724,-0.06659657833668028,0.10963583850271034,0.250299867054449,-0.1968340852799829,0.201395573301806
-0.12527127145790956,0.016647352184996654,0.19882012889943232,0.8661272756561205,1.0,0.44857576343216365,0.5247605474372078,0.5486812949431302,0.4702219429264514,0.4385389829709232,0.2680140722189573,0.3692882773168797,0.3397371139574463,0.25854209080620305,0.34912601701763696,0.34905389693906475,0.34468142187369605,0.25636903640457287,0.4298222606465087,0.40223186028329955,0.3416509913065307,0.35337165403562987,0.40870962814616096,0.280251593557261,0.2766576112019888,0.41314090272609705,0.3779519698136458,0.46406077005814833,0.4781276142708825,0.4995425815590542,0.31686170364720895,0.13582687754779454,0.509431878435574,-0.44908508922038765,0.4938087883644214,0.24751416041352206,-0.23948784691664932,0.18828569359085304
-0.1471751539412705,0.03652855615984085,0.02355630780959978,0.8352383727092973,0.44857576343216365,1.0,-0.261698224331675,0.577130024451312,0.4441401005608544,0.4448987765452907,0.212777861562815,0.31150042772615694,0.31032240273103007,0.22530476703259067,0.31491105849964934,0.32569579763115436,0.35096005634670263,0.27939938666845116,0.4087317709473638,0.393381136328056,0.3040519547797549,0.3787651777095796,0.39689990774931017,0.23661355041231208,0.37430002011826047,0.47363204458421726,0.36114384976097075,0.4303782242685458,-0.1581735699269612,0.46136938064209404,0.24582831324926954,0.04994744475498549,-0.30901204311767105,0.37498471121174354,-0.3472287380927634,0.17526012189221366,-0.08420331223057385,0.15297438964490537
0.011791331751981198,0.016675282457927352,0.14743250695378918,0.17651193481168867,0.5247605474372078,-0.261698224331675,1.0,0.02321006296417236,0.06429936341765406,0.03709229999948307,0.04151878461052599,0.08470206368489194,0.05508718489267629,0.09228786833019657,0.051502008483884636,0.0417543352604116,0.05138299022703531,-0.0051966713643299975,0.0568396583379968,0.041349245233923686,0.061293756911431824,0.02264726245336573,0.03719903335445292,0.05815719686562155,-0.048473837303010386,-0.010970266784435401,0.04499834030667546,0.06874862024591138,0.47141833677524875,0.07283949934659283,0.08664069355136923,0.06363692184672778,0.7195471028380974,-0.7124647824935898,0.7382523187936444,0.022700933494705457,-0.13346942988577262,0.01135806915464113
0.0038167411304620485,-0.006120379185852485,0.1447805624436622,0.660341109631527,0.5486812949431302,0.577130024451312,0.02321006296417236,1.0,0.8814556214704214,0.8908587524705427,0.2304280721431902,0.6680714644294928,0.6776354871867697,0.3234299328772153,0.7107468993068514,0.7140091155309285,0.41373647975799466,0.3974793430008137,0.7240828230993632,0.6668488349076681,0.6887271869197453,0.7700576469594919,0.7521964945712917,0.40595215455396916,0.6799470308568543,0.7358205821140201,0.75531245846082,0.8786660604431027,0.22087843944346436,0.9067111072311093,0.4686756341664589,0.19446798958494435,-0.03446649664765064,0.03137720330119067,-0.03430226791652239,0.3445084903228169,-0.19699040934737835,0.33871517965288395
0.03252692498859867,-0.010173727731582559,0.08270260486410626,0.5376938515389706,0.4702219429264514,0.4441401005608544,0.06429936341765406,0.8814556214704214,1.0,0.9770553628090507,0.29711639789072686,0.6378459485855584,0.639421837586593,0.28068610407901845,0.8475756174193408,0.8488340269107779,0.3477808799985165,0.414842084029151,0.7208290645296647,0.6697810818543397,0.6917400841101572,0.8288453683780743,0.6495100793727157,0.4098548437873196,0.7651451724775016,0.6202838809282312,0.8610955130096134,0.9894207840605953,0.27169945930052636,0.9547313214255351,0.5768421600002679,0.27130927723231013,0.004894714068163772,-0.015661115164118226,0.010370329240805267,0.5033248886871813,-0.15928480562213362,0.5853098229401418
0.025958547346624773,-0.00695765548528236,0.08796638360441715,0.5186247877549781,0.4385389829709232,0.4448987765452907,0.03709229999948307,0.8908587524705427,0.9770553628090507,1.0,0.15656935634879834,0.7230538524072737,0.7422146712361066,0.31915819890485664,0.8387154732111373,0.8258751656644892,0.37480805948798473,0.2918191640188202,0.6540028988126068,0.5817309475106509,0.7268550830461312,0.8388358138584557,0.6676552474713857,0.315987150782235,0.7677739040930165,0.5876119830528693,0.834322710040164,0.9824499910380414,0.22649597449908904,0.9269499490758212,0.4965686399297668,0.2662451656891065,-0.021840119392355906,0.012804444259748478,-0.017989811379051677,0.4245934120360884,-0.1610853088802059,0.5315298513244009
